source_id,layer,jurisdiction,path,doc_type,title,source_org,authority_level,publish_date,effective_date,status,url,snapshot_path,usage_priority,notes,module,category,usage,binding_force,authority,publisher,suitable_for,report_usage,summary,knowledge_url,origin_path
CN-QA-011,guidance,cn,scc,qa,《个人信息出境标准合同办法》答记者问,CAC,official,2023-02-24,2023-02-24,effective,https://www.cac.gov.cn/2023-02/24/c_1678884829601935.htm,resources/legal/sources/cn/snapshots/cac_2023_02_24_standard_contract_qa.html,P1,解释条款适用边界,cn-review,官方问答,条文匹配,recommended,high,国家互联网信息办公室,标准合同、文档审查,可辅助解释条文，但不宜单独作为核心依据,《个人信息出境标准合同办法》答记者问用于解释标准合同路径的适用边界、制度目的和备案实践中的常见理解问题。,/knowledge/sources/CN-QA-011,
CN-QA-012,practice_stats,cn,assessment,qa,数据出境安全管理政策问答（2025年4月）,CAC,official,2025-04-09,2025-04-09,effective,https://www.cac.gov.cn/2025-04/09/c_1745906286623776.htm,resources/legal/sources/cn/snapshots/cac_2025_04_09_policy_qa.html,P0,含阶段性统计口径,cn-assessment,官方问答,审查基准,recommended,high,国家互联网信息办公室,评估申报、路径判断,可辅助解释条文，但不宜单独作为核心依据,2025年4月政策问答提供阶段性统计和政策解释，可用于补充说明安全评估路径的监管关注点与实践趋势。,/knowledge/sources/CN-QA-012,
CN-QA-013,practice_stats,cn,assessment,qa,数据出境安全管理政策问答（2025年5月）,CAC,official,2025-05-30,2025-05-30,effective,https://www.cac.gov.cn/2025-05/30/c_1750315283722063.htm,resources/legal/sources/cn/snapshots/cac_2025_05_30_policy_qa.html,P0,含最新政策解释口径,cn-assessment,官方问答,审查基准,recommended,high,国家互联网信息办公室,评估申报、路径判断,可辅助解释条文，但不宜单独作为核心依据,2025年5月政策问答提供更新的政策解释口径和阶段性数据，适合作为安全评估项目中的辅助说明材料。,/knowledge/sources/CN-QA-013,
CN-OPS-014,process,cn,assessment|scc,contact_list,各地省级网信部门申报/备案联系方式,CAC,official,2023-11-03,2023-11-03,effective,https://www.cac.gov.cn/2023-11/03/c_1700672263791309.htm,resources/legal/sources/cn/snapshots/cac_2023_11_03_contact_list.html,P1,流程落地支持,cn-assessment,流程清单,条文匹配,recommended,high,国家互联网信息办公室,评估申报、标准合同,用于流程执行，不直接作为法律论证,各地省级网信部门申报/备案联系方式属于流程执行层资料，用于项目落地和实际申报沟通，不作为法律结论主依据。,/knowledge/sources/CN-OPS-014,
CN-GOV-015,legal_rules,cn,scc,gov_republish,个人信息出境标准合同办法（中国政府网转载）,gov.cn,official,2023-11-11,2023-06-01,effective,https://www.gov.cn/zhengce/202311/content_6917770.htm,resources/legal/sources/cn/snapshots/govcn_2023_standard_contract_measures.html,P1,政府口径交叉校验,cn-review,官方转载,条文匹配,recommended,high,中国政府网,标准合同、文档审查,可附带解释说明,中国政府网转载版《个人信息出境标准合同办法》可作为交叉校验口径，用于提高标准合同条文引用的稳健性。,/knowledge/sources/CN-GOV-015,
EU-LAW-001,legal_rules,eu,all,law,GDPR (EU) 2016/679,EUR-Lex,official,2016-04-27,2018-05-25,effective,https://eur-lex.europa.eu/eli/reg/2016/679/oj,resources/legal/sources/eu/snapshots/eurlex_gdpr_2016_679_excerpts.md,P0,EU跨境合规核心法,eu-dpia|eu-bcr|eu-scc|eu-tia,核心法律,审查基准,mandatory,high,EUR-Lex,DPIA草案、BCR审核、SCC审查、TIA草案,可直接引用条文号,GDPR 是欧盟跨境数据保护合规的总法基础，用于 DPIA、BCR、SCC 和 TIA 等多个模块中的核心法条引用。,/knowledge/sources/EU-LAW-001,doc/数规通功能路径描述（含reference）、流程描述、测试案例/欧盟数据出境路径/欧盟数据出境路径Reference库/欧盟数据出境reference文件库/CELEX_32016R0679_EN_TXT.pdf
EU-GUIDE-002,guidance,eu,all,guide,EDPB Recommendations 01/2020,EDPB,official,2021-06-18,2021-06-18,effective,https://edpb.europa.eu/system/files/2021-06/edpb_recommendations_202001vo.2.0_supplementarymeasurestransferstools_en.pdf,resources/legal/sources/eu/snapshots/edpb_recommendations_01_2020_excerpts.md,P0,TIA分析与补充措施框架,eu-tia|eu-scc|eu-bcr,官方指南,审查基准,recommended,high,欧洲数据保护委员会,TIA草案、SCC审查、BCR审核,可附带解释说明,EDPB Recommendations 01/2020 提供了 transfer impact assessment 和补充措施分析框架，是 TIA 草案生成和欧盟传输审查的重要解释性依据。,/knowledge/sources/EU-GUIDE-002,doc/数规通功能路径描述（含reference）、流程描述、测试案例/欧盟数据出境路径/欧盟数据出境路径Reference库/欧盟数据出境reference文件库/edpb_recommendations_202001vo.2.0_supplementarymeasurestransferstools_en.pdf
US-FED-001,legal_rules,us,all,administrative_regulation,U.S. DOJ Rule implementing EO 14117,Federal Register,official,2024-12-27,2025-04-08,effective,https://www.govinfo.gov/content/pkg/FR-2025-01-08/pdf/FR-2025-01-08.pdf,resources/legal/sources/us/snapshots/fr_2025_01_08_eo14117_excerpts.md,P0,对华数据流动限制核心规则,us-14117,部门规章,审查基准,mandatory,high,Federal Register,EO14117合规,可直接引用条文号,美国司法部 EO 14117 实施规则用于界定受限交易、受规制对象和对华敏感数据流动限制，是美国路径中的核心联邦依据。,/knowledge/sources/US-FED-001,doc/数规通功能路径描述（含reference）、流程描述、测试案例/美国（加州）数据出境路径/美国数据出境路径Reference库/美国数据出境路径reference文件库/2024-04573.pdf
US-CA-001,legal_rules,us,privacy,law,California Civil Code — CCPA/CPRA,California Legislature,official,,,effective,https://www.leginfo.legislature.ca.gov/faces/codes_displayText.xhtml?article=&chapter=&division=3.&lawCode=CIV&part=4.&title=1.81.5.,resources/legal/sources/us/snapshots/ca_civil_code_cpra_sections.md,P0,CPRA消费者权利与企业义务,us-cpra,核心法律,审查基准,mandatory,high,California Legislative Information,CPRA合规,可直接引用条文号,California Civil Code 中的 CCPA/CPRA 现行条文用于解释消费者权利和企业义务；入库内容按准确的 1798.x 条号切分。,/knowledge/sources/US-CA-001,doc/数规通功能路径描述（含reference）、流程描述、测试案例/美国（加州）数据出境路径/美国数据出境路径Reference库/美国数据出境路径reference文件库/The California Privacy Rights Act of 2020 (1).pdf
CN-TPL-016,template_assets,cn,review,template,个人信息出境标准合同模板,项目资料库,recommended,,,reference,,resources/legal/sources/cn/snapshots/cn-tpl-016_个人信息出境标准合同模板_da18a8f4.md,P2,标准合同模板样例,cn-review,官方模板,结构参照,reference,medium,项目资料库,文档审查、标准合同,用于结构参照，不直接作为法律依据,用于标准合同结构比对和条款位置识别的模板样例。,/knowledge/sources/CN-TPL-016,doc/数规通功能路径描述（含reference）、流程描述、测试案例/中国数据出境路径/任务4：“文档专项智能审查”路径描述及测试案例/“文档专项智能审查”测试案例及预期输出/个人信息出境标准合同【模板】.docx
CN-TPL-017,template_assets,cn,review,template,数据处理协议样例,项目资料库,recommended,,,reference,,resources/legal/sources/cn/snapshots/cn-tpl-017_数据处理协议样例_938a2963.md,P2,DPA样例,cn-review,官方模板,结构参照,reference,medium,项目资料库,文档审查、数据处理协议,用于结构参照，不直接作为法律依据,用于数据处理协议版式和条款结构识别的样例文书。,/knowledge/sources/CN-TPL-017,doc/数规通功能路径描述（含reference）、流程描述、测试案例/中国数据出境路径/任务4：“文档专项智能审查”路径描述及测试案例/“文档专项智能审查”测试案例及预期输出/数据处理协议样例.pdf
CN-TPL-018,template_assets,cn,review,template,数据安全及保密协议模板,项目资料库,recommended,,,reference,,resources/legal/sources/cn/snapshots/cn-tpl-018_数据安全及保密协议模板_266f3cad.md,P2,保密协议模板样例,cn-review,官方模板,结构参照,reference,medium,项目资料库,文档审查、保密协议,用于结构参照，不直接作为法律依据,用于保密义务和数据安全条款结构识别的样例模板。,/knowledge/sources/CN-TPL-018,doc/数规通功能路径描述（含reference）、流程描述、测试案例/中国数据出境路径/任务4：“文档专项智能审查”路径描述及测试案例/“文档专项智能审查”测试案例及预期输出/数据安全及保密协议（模板） (1).docx
CN-TPL-019,template_assets,cn,assessment,template,数据出境风险自评估报告模板,项目资料库,recommended,,,reference,,resources/legal/sources/cn/snapshots/cn-tpl-019_数据出境风险自评估报告模板_48ec6e2b.md,P2,评估报告模板,cn-assessment,官方模板,结构参照,reference,medium,项目资料库,评估申报,用于结构参照，不直接作为法律依据,用于安全评估报告结构编排和章节组织的模板。,/knowledge/sources/CN-TPL-019,doc/数规通功能路径描述（含reference）、流程描述、测试案例/中国数据出境路径/中国数据出境路径reference库/中国数据出境路径reference文件库/数据出境风险自评估报告（模板）.docx
CN-TPL-020,template_assets,cn,assessment,template,个人信息保护影响评估报告模板,项目资料库,recommended,,,reference,,resources/legal/sources/cn/snapshots/cn-tpl-020_个人信息保护影响评估报告模板_bcacf6d1.md,P2,PIA模板,cn-assessment,官方模板,结构参照,reference,medium,项目资料库,评估申报、PIPIA,用于结构参照，不直接作为法律依据,用于个人信息保护影响评估报告结构生成的模板。,/knowledge/sources/CN-TPL-020,doc/数规通功能路径描述（含reference）、流程描述、测试案例/中国数据出境路径/中国数据出境路径reference库/中国数据出境路径reference文件库/个人信息保护影响评估报告（模板）.docx
CN-TPL-021,supplemental_assets,cn,all,template,个人信息保护影响评估报告（模板） (1),项目资料库,recommended,,,reference,,resources/legal/sources/cn/snapshots/cn-tpl-021_个人信息保护影响评估报告_模板_1_2ba9ee34.md,P3,由原始资产自动扩展入知识库：个人信息保护影响评估报告（模板） (1).docx,cn-diagnosis,官方模板,结构参照,reference,medium,项目资料库,路径判断,用于知识参考与结构参照，不直接作为核心法律依据,由原始参考文件 `个人信息保护影响评估报告（模板） (1).docx` 自动扩展生成的知识条目。,/knowledge/sources/CN-TPL-021,doc/数规通功能路径描述（含reference）、流程描述、测试案例/中国数据出境路径/中国数据出境路径reference库/中国数据出境路径reference文件库/个人信息保护影响评估报告（模板） (1).docx
CN-SUP-002,supplemental_assets,cn,all,regulation,个人信息出境认证办法,项目资料库,recommended,,,reference,,resources/legal/sources/cn/snapshots/cn-sup-001_个人信息出境认证办法_b1078d14.md,P3,由原始资产自动扩展入知识库：个人信息出境认证办法.pdf,cn-diagnosis,补充依据,参考引用,mandatory,medium,项目资料库,路径判断,用于知识参考与结构参照，不直接作为核心法律依据,由原始参考文件 `个人信息出境认证办法.pdf` 自动扩展生成的知识条目。,/knowledge/sources/CN-SUP-002,doc/数规通功能路径描述（含reference）、流程描述、测试案例/中国数据出境路径/中国数据出境路径reference库/中国数据出境路径reference文件库/个人信息出境认证办法.pdf
CN-SUP-003,supplemental_assets,cn,all,regulation,个人金融信息保护技术规范,项目资料库,recommended,,,reference,,resources/legal/sources/cn/snapshots/cn-sup-002_个人金融信息保护技术规范_44835b79.md,P3,由原始资产自动扩展入知识库：个人金融信息保护技术规范.pdf,cn-diagnosis,补充依据,参考引用,recommended,medium,项目资料库,路径判断,用于知识参考与结构参照，不直接作为核心法律依据,由原始参考文件 `个人金融信息保护技术规范.pdf` 自动扩展生成的知识条目。,/knowledge/sources/CN-SUP-003,doc/数规通功能路径描述（含reference）、流程描述、测试案例/中国数据出境路径/中国数据出境路径reference库/中国数据出境路径reference文件库/个人金融信息保护技术规范.pdf
CN-SUP-004,supplemental_assets,cn,all,regulation,信息安全技术 个人信息安全规范,项目资料库,recommended,,,reference,,resources/legal/sources/cn/snapshots/cn-sup-003_信息安全技术_个人信息安全规范_98413de1.md,P3,由原始资产自动扩展入知识库：信息安全技术 个人信息安全规范.pdf,cn-diagnosis,补充依据,参考引用,recommended,medium,项目资料库,路径判断,用于知识参考与结构参照，不直接作为核心法律依据,由原始参考文件 `信息安全技术 个人信息安全规范.pdf` 自动扩展生成的知识条目。,/knowledge/sources/CN-SUP-004,doc/数规通功能路径描述（含reference）、流程描述、测试案例/中国数据出境路径/中国数据出境路径reference库/中国数据出境路径reference文件库/信息安全技术 个人信息安全规范.pdf
CN-SUP-005,supplemental_assets,cn,all,regulation,数据出境申报系统使用手册,项目资料库,recommended,,,reference,,resources/legal/sources/cn/snapshots/cn-sup-004_数据出境申报系统使用手册_b6f010c5.md,P3,由原始资产自动扩展入知识库：数据出境申报系统使用手册.pdf,cn-diagnosis,补充依据,参考引用,recommended,medium,项目资料库,路径判断,用于知识参考与结构参照，不直接作为核心法律依据,由原始参考文件 `数据出境申报系统使用手册.pdf` 自动扩展生成的知识条目。,/knowledge/sources/CN-SUP-005,doc/数规通功能路径描述（含reference）、流程描述、测试案例/中国数据出境路径/中国数据出境路径reference库/中国数据出境路径reference文件库/数据出境申报系统使用手册.pdf
CN-SUP-006,supplemental_assets,cn,all,regulation,汽车数据安全管理若干规定（试行） 中央网络安全和信息化委员会办公室,项目资料库,recommended,,,reference,,resources/legal/sources/cn/snapshots/cn-sup-005_汽车数据安全管理若干规定_试行_中央网络安全和信息化委员会办公室_69b8dec0.md,P3,由原始资产自动扩展入知识库：汽车数据安全管理若干规定（试行）_中央网络安全和信息化委员会办公室.pdf,cn-diagnosis,补充依据,参考引用,mandatory,medium,项目资料库,路径判断,用于知识参考与结构参照，不直接作为核心法律依据,由原始参考文件 `汽车数据安全管理若干规定（试行）_中央网络安全和信息化委员会办公室.pdf` 自动扩展生成的知识条目。,/knowledge/sources/CN-SUP-006,doc/数规通功能路径描述（含reference）、流程描述、测试案例/中国数据出境路径/中国数据出境路径reference库/中国数据出境路径reference文件库/汽车数据安全管理若干规定（试行）_中央网络安全和信息化委员会办公室.pdf
CN-SUP-007,supplemental_assets,cn,all,regulation,金融数据安全+数据安全分级指南,项目资料库,recommended,,,reference,,resources/legal/sources/cn/snapshots/cn-sup-006_金融数据安全_数据安全分级指南_1311542a.md,P3,由原始资产自动扩展入知识库：金融数据安全+数据安全分级指南.pdf,cn-diagnosis,补充依据,参考引用,recommended,medium,项目资料库,路径判断,用于知识参考与结构参照，不直接作为核心法律依据,由原始参考文件 `金融数据安全+数据安全分级指南.pdf` 自动扩展生成的知识条目。,/knowledge/sources/CN-SUP-007,doc/数规通功能路径描述（含reference）、流程描述、测试案例/中国数据出境路径/中国数据出境路径reference库/中国数据出境路径reference文件库/金融数据安全+数据安全分级指南.pdf
CN-TPL-022,supplemental_assets,cn,review,template,隐私政策样例,项目资料库,recommended,,,reference,,resources/legal/sources/cn/snapshots/cn-tpl-022_隐私政策样例_510dc5fc.md,P3,由原始资产自动扩展入知识库：隐私政策样例.PNG,cn-review,官方模板,结构参照,reference,medium,项目资料库,文档审查,用于知识参考与结构参照，不直接作为核心法律依据,由原始参考文件 `隐私政策样例.PNG` 自动扩展生成的知识条目。,/knowledge/sources/CN-TPL-022,doc/数规通功能路径描述（含reference）、流程描述、测试案例/中国数据出境路径/任务4：“文档专项智能审查”路径描述及测试案例/“文档专项智能审查”测试案例及预期输出/隐私政策样例.PNG
EU-SUP-009,supplemental_assets,eu,all,regulation,2.2 ICO DPIA Temple (1),项目资料库,recommended,,,reference,,resources/legal/sources/eu/snapshots/eu-sup-001_2_2_ico_dpia_temple_1_8da2e5a1.md,P3,由原始资产自动扩展入知识库：2.2 ICO_DPIA_Temple (1).docx,eu-scc,补充依据,参考引用,recommended,medium,项目资料库,SCC审查,用于知识参考与结构参照，不直接作为核心法律依据,由原始参考文件 `2.2 ICO_DPIA_Temple (1).docx` 自动扩展生成的知识条目。,/knowledge/sources/EU-SUP-009,doc/数规通功能路径描述（含reference）、流程描述、测试案例/欧盟数据出境路径/欧盟数据出境路径Reference库/欧盟数据出境reference文件库/2.2 ICO_DPIA_Temple (1).docx
EU-SUP-010,supplemental_assets,eu,all,regulation,CELEX 32002D0002 EN TXT,项目资料库,recommended,,,reference,,resources/legal/sources/eu/snapshots/eu-sup-002_celex_32002d0002_en_txt_630ed471.md,P3,由原始资产自动扩展入知识库：CELEX_32002D0002_EN_TXT.pdf,eu-scc,补充依据,参考引用,recommended,medium,项目资料库,SCC审查,用于知识参考与结构参照，不直接作为核心法律依据,由原始参考文件 `CELEX_32002D0002_EN_TXT.pdf` 自动扩展生成的知识条目。,/knowledge/sources/EU-SUP-010,doc/数规通功能路径描述（含reference）、流程描述、测试案例/欧盟数据出境路径/欧盟数据出境路径Reference库/欧盟数据出境reference文件库/CELEX_32002D0002_EN_TXT.pdf
EU-SUP-011,supplemental_assets,eu,all,regulation,CELEX 32003D0490 EN TXT,项目资料库,recommended,,,reference,,resources/legal/sources/eu/snapshots/eu-sup-003_celex_32003d0490_en_txt_0c03d397.md,P3,由原始资产自动扩展入知识库：CELEX_32003D0490_EN_TXT.pdf,eu-scc,补充依据,参考引用,recommended,medium,项目资料库,SCC审查,用于知识参考与结构参照，不直接作为核心法律依据,由原始参考文件 `CELEX_32003D0490_EN_TXT.pdf` 自动扩展生成的知识条目。,/knowledge/sources/EU-SUP-011,doc/数规通功能路径描述（含reference）、流程描述、测试案例/欧盟数据出境路径/欧盟数据出境路径Reference库/欧盟数据出境reference文件库/CELEX_32003D0490_EN_TXT.pdf
EU-SUP-012,supplemental_assets,eu,all,regulation,CELEX 32003D0821 EN TXT,项目资料库,recommended,,,reference,,resources/legal/sources/eu/snapshots/eu-sup-004_celex_32003d0821_en_txt_72c43419.md,P3,由原始资产自动扩展入知识库：CELEX_32003D0821_EN_TXT.pdf,eu-scc,补充依据,参考引用,recommended,medium,项目资料库,SCC审查,用于知识参考与结构参照，不直接作为核心法律依据,由原始参考文件 `CELEX_32003D0821_EN_TXT.pdf` 自动扩展生成的知识条目。,/knowledge/sources/EU-SUP-012,doc/数规通功能路径描述（含reference）、流程描述、测试案例/欧盟数据出境路径/欧盟数据出境路径Reference库/欧盟数据出境reference文件库/CELEX_32003D0821_EN_TXT.pdf
EU-SUP-013,supplemental_assets,eu,all,regulation,CELEX 32004D0411 EN TXT,项目资料库,recommended,,,reference,,resources/legal/sources/eu/snapshots/eu-sup-005_celex_32004d0411_en_txt_6c7765c5.md,P3,由原始资产自动扩展入知识库：CELEX_32004D0411_EN_TXT.pdf,eu-scc,补充依据,参考引用,recommended,medium,项目资料库,SCC审查,用于知识参考与结构参照，不直接作为核心法律依据,由原始参考文件 `CELEX_32004D0411_EN_TXT.pdf` 自动扩展生成的知识条目。,/knowledge/sources/EU-SUP-013,doc/数规通功能路径描述（含reference）、流程描述、测试案例/欧盟数据出境路径/欧盟数据出境路径Reference库/欧盟数据出境reference文件库/CELEX_32004D0411_EN_TXT.pdf
EU-SUP-014,supplemental_assets,eu,all,regulation,CELEX 32008D0393 EN TXT,项目资料库,recommended,,,reference,,resources/legal/sources/eu/snapshots/eu-sup-006_celex_32008d0393_en_txt_5c003a8c.md,P3,由原始资产自动扩展入知识库：CELEX_32008D0393_EN_TXT.pdf,eu-scc,补充依据,参考引用,recommended,medium,项目资料库,SCC审查,用于知识参考与结构参照，不直接作为核心法律依据,由原始参考文件 `CELEX_32008D0393_EN_TXT.pdf` 自动扩展生成的知识条目。,/knowledge/sources/EU-SUP-014,doc/数规通功能路径描述（含reference）、流程描述、测试案例/欧盟数据出境路径/欧盟数据出境路径Reference库/欧盟数据出境reference文件库/CELEX_32008D0393_EN_TXT.pdf
EU-SUP-015,supplemental_assets,eu,all,regulation,CELEX 32010D0146 EN TXT,项目资料库,recommended,,,reference,,resources/legal/sources/eu/snapshots/eu-sup-007_celex_32010d0146_en_txt_10f5c027.md,P3,由原始资产自动扩展入知识库：CELEX_32010D0146_EN_TXT.pdf,eu-scc,补充依据,参考引用,recommended,medium,项目资料库,SCC审查,用于知识参考与结构参照，不直接作为核心法律依据,由原始参考文件 `CELEX_32010D0146_EN_TXT.pdf` 自动扩展生成的知识条目。,/knowledge/sources/EU-SUP-015,doc/数规通功能路径描述（含reference）、流程描述、测试案例/欧盟数据出境路径/欧盟数据出境路径Reference库/欧盟数据出境reference文件库/CELEX_32010D0146_EN_TXT.pdf
