source_path,asset_type,jurisdiction_family,target_module,target_layer,target_path,sync_status,notes
"doc/数规通功能路径描述（含reference）、流程描述、测试案例/中国数据出境路径/中国数据出境路径reference库/中国数据出境路径reference文件库/*",reference_source,cn,shared-cn,references,"doc/knowledge/cn-diagnosis|cn-assessment|cn-pipia/references",partially_indexed,"原始依据文件已迁入模块 references，但仅核心条目进入 sources.csv"
"doc/数规通功能路径描述（含reference）、流程描述、测试案例/欧盟数据出境路径/任务1：“SCC审查”路径描述及测试案例/“SCC审查”功能说明与路径描述.docx",spec,eu,eu-scc,spec,"doc/knowledge/eu-scc/spec.md",synced,"功能说明并入模块 spec"
"doc/数规通功能路径描述（含reference）、流程描述、测试案例/欧盟数据出境路径/任务1：“SCC审查”路径描述及测试案例/“SCC审查”测试案例及预期输出.docx",test_case,eu,eu-scc,test-cases,"doc/knowledge/eu-scc/test-cases.md",synced,"测试案例并入模块 test-cases"
"doc/数规通功能路径描述（含reference）、流程描述、测试案例/欧盟数据出境路径/任务2：“BCR审核”路径描述及测试案例/“BCR审核”功能说明与路径描述.docx",spec,eu,eu-bcr,spec,"doc/knowledge/eu-bcr/spec.md",synced,"功能说明并入模块 spec"
"doc/数规通功能路径描述（含reference）、流程描述、测试案例/欧盟数据出境路径/任务2：“BCR审核”路径描述及测试案例/“BCR审核”测试案例及预期输出.docx",test_case,eu,eu-bcr,test-cases,"doc/knowledge/eu-bcr/test-cases.md",synced,"测试案例并入模块 test-cases"
"doc/数规通功能路径描述（含reference）、流程描述、测试案例/欧盟数据出境路径/任务3：“DPIA草案生成”路径描述及测试案例/“DPIA草案生成”功能说明与路径描述.docx",spec,eu,eu-dpia,spec,"doc/knowledge/eu-dpia/spec.md",synced,"功能说明并入模块 spec"
"doc/数规通功能路径描述（含reference）、流程描述、测试案例/欧盟数据出境路径/任务3：“DPIA草案生成”路径描述及测试案例/“DPIA草案生成”测试案例及预期输出.docx",test_case,eu,eu-dpia,test-cases,"doc/knowledge/eu-dpia/test-cases.md",synced,"测试案例并入模块 test-cases"
"doc/数规通功能路径描述（含reference）、流程描述、测试案例/欧盟数据出境路径/任务4：“TIA草案生成”路径描述及测试案例/“TIA草案生成”功能说明与路径描述.docx",spec,eu,eu-tia,spec,"doc/knowledge/eu-tia/spec.md",synced,"功能说明并入模块 spec"
"doc/数规通功能路径描述（含reference）、流程描述、测试案例/欧盟数据出境路径/任务4：“TIA草案生成”路径描述及测试案例/“TIA草案生成”测试案例及预期输出.docx",test_case,eu,eu-tia,test-cases,"doc/knowledge/eu-tia/test-cases.md",synced,"测试案例并入模块 test-cases"
"doc/数规通功能路径描述（含reference）、流程描述、测试案例/欧盟数据出境路径/欧盟数据出境路径Reference库/欧盟数据出境路径Reference库清单.docx",reference_catalog,eu,shared-eu,_index,"doc/knowledge/_index/spec_asset_manifest.csv",indexed_only,"作为来源清单依据，已纳入资产清单，不单独前端展示"
"doc/数规通功能路径描述（含reference）、流程描述、测试案例/欧盟数据出境路径/欧盟数据出境路径Reference库/欧盟数据出境reference文件库/*",reference_source,eu,shared-eu,references,"doc/knowledge/eu-scc|eu-bcr|eu-dpia|eu-tia/references",partially_indexed,"原始依据文件已迁入模块 references，但仅核心条目进入 sources.csv"
"doc/数规通功能路径描述（含reference）、流程描述、测试案例/美国（加州）数据出境路径/任务1：“14117行政令合规”路径描述及测试案例/“14117行政令合规”功能说明与路径描述.docx",spec,us,us-14117,spec,"doc/knowledge/us-14117/spec.md",synced,"功能说明并入模块 spec"
"doc/数规通功能路径描述（含reference）、流程描述、测试案例/美国（加州）数据出境路径/任务1：“14117行政令合规”路径描述及测试案例/“14117行政令合规”测试案例及预期输出.docx",test_case,us,us-14117,test-cases,"doc/knowledge/us-14117/test-cases.md",synced,"测试案例并入模块 test-cases"
"doc/数规通功能路径描述（含reference）、流程描述、测试案例/美国（加州）数据出境路径/任务2：“CPRA合规”路径描述及测试案例/“CPRA合规”功能说明与路径描述（标注Reference）.docx",spec,us,us-cpra,spec,"doc/knowledge/us-cpra/spec.md",synced,"功能说明并入模块 spec"
"doc/数规通功能路径描述（含reference）、流程描述、测试案例/美国（加州）数据出境路径/任务2：“CPRA合规”路径描述及测试案例/“CPRA合规”测试案例及预期输出.docx",test_case,us,us-cpra,test-cases,"doc/knowledge/us-cpra/test-cases.md",synced,"测试案例并入模块 test-cases"
"doc/数规通功能路径描述（含reference）、流程描述、测试案例/美国（加州）数据出境路径/美国数据出境路径Reference库/美国数据出境路径Reference库清单.docx",reference_catalog,us,shared-us,_index,"doc/knowledge/_index/spec_asset_manifest.csv",indexed_only,"作为来源清单依据，已纳入资产清单，不单独前端展示"
"doc/数规通功能路径描述（含reference）、流程描述、测试案例/美国（加州）数据出境路径/美国数据出境路径Reference库/美国数据出境路径reference文件库/*",reference_source,us,shared-us,references,"doc/knowledge/us-14117|us-cpra/references",partially_indexed,"原始依据文件已迁入模块 references，但仅核心条目进入 sources.csv"
