module,source_image,row_or_step,field_code,field_name,input_method,data_format,required,report_section,description,confidence
3.4,3.4.png,3 评估目的地法律与实践,3.4-3.2,主要发现摘要,段落文本,文本,建议,步骤3,总结访问权限执法风险,高
3.4,3.4.png,3 评估目的地法律与实践,3.4-3.3,初步结论传输工具是否有效,单选,是有风险可能无效,是,步骤3,结合法律评估做初判,高
3.4,3.4.png,4 识别补充措施,3.4-4.1,技术性补充措施,列表文本,列表,是,步骤4,加密匿名化访问控制等,高
3.4,3.4.png,4 识别补充措施,3.4-4.2,合同和组织性补充措施,列表文本,列表,是,步骤4,补充协议审计权通知义务等,高
3.4,3.4.png,4 识别补充措施,3.4-4.3,补充后传输是否有效,单选,是可行否暂停,是,步骤4,用于是否继续传输决策,高
3.4,3.4.png,5 实施步骤与意见,3.4-5.1,关键行动清单,列表文本,列表,建议,步骤5,修改合同部署加密调整访问权限,高
3.4,3.4.png,5 实施步骤与意见,3.4-5.2,DPO意见摘要,段落文本,文本,是,步骤5,记录同意或条件同意意见,高
3.4,3.4.png,6 定期复审,3.4-6.1,下次复审日期,日期选择,日期,是,步骤6,例如2025-01-15,高
4.1,4.1.png,D,4.1-D1,出境数据清单,Excel上传或在线编辑,表格,是,二（二）3 数据项清单表,表头含数据项名称内容描述业务场景是否个人信息是否敏感信息出境必要性说明示例,高
4.1,4.1.2.png,E,4.1-E1,外部实体清单,文件上传或表单逐条,CSV或XLSX,是,实体清单输入,字段含实体全称注册国家地区统一社会信用代码税号股权结构,高
4.1,4.1.2.png,E,4.1-E2,内部员工清单可选,文件上传,CSV或XLSX,否,实体清单输入,字段含姓名国籍部门岗位用于覆盖人群筛查,高
4.2,4.2.png,1 企业信息,4.2-1.1,企业名称与DBA,文本表单,文本,是,第一章 企业适用性,用于报告抬头与身份识别,高
4.2,4.2.png,1 企业信息,4.2-1.2,CPRA适用性自检,选择题,枚举,是,第一章 企业适用性,按营收与处理规模判断是否受监管,高
4.2,4.2.png,1 企业信息,4.2-1.3,隐私政策链接或文本,文件上传或URL,链接或文本,是,第一章 企业适用性,用于核验告知义务,高
4.2,4.2.png,2 数据处理活动,4.2-2.1,数据流图或问卷,问卷引导或图表上传,文本加附件,是,第二章 数据处理活动,描述收集使用共享删除全流程,高
4.2,4.2.png,2 数据处理活动,4.2-2.2,处理数据类别清单,多选加自定义,列表,是,第二章 数据处理活动,含基础PII与敏感个人信息SPI,高
4.2,4.2.png,2 数据处理活动,4.2-2.3,数据收集合规基础,多选,枚举,是,第二章 数据处理活动,同意合同履行合法利益等,高
4.2,4.2.png,2 数据处理活动,4.2-2.4,数据保留期限政策,文本描述,文本,是,第二章 数据处理活动,说明每类数据保存时长与依据,高
4.2,4.2.png,3 消费者权利响应机制,4.2-3.1,现有DSR受理渠道,描述加URL或截图,文本加附件,是,第三章 消费者权利保障,说明知情访问删除退出等请求渠道,高
4.2,4.2.png,3 消费者权利响应机制,4.2-3.2,身份验证方法,文本描述,文本,是,第三章 消费者权利保障,说明防止信息泄露的校验方式,高
4.2,4.2.png,3 消费者权利响应机制,4.2-3.3,内部处理流程与SLA,文本描述,文本,是,第三章 消费者权利保障,说明流转路径与响应时限,高
4.2,4.2.png,4 技术与管理措施,4.2-4.1,SPI使用清单,多选加描述,列表,是,第四章 敏感信息与第三方管理,说明业务场景与必要性,高
4.2,4.2.png,4 技术与管理措施,4.2-4.2,向第三方出售或共享数据情况,是否加清单,布尔加列表,是,第四章 敏感信息与第三方管理,如为是需给出第三方类别目的与保障,高
4.2,4.2.png,4 技术与管理措施,4.2-4.3,现有安全措施概述,多选加描述,列表,是,第四章 敏感信息与第三方管理,如加密访问控制员工培训等,高
4.2,4.2.png,4 技术与管理措施,4.2-4.4,关键UI示例,网站或APP截图,图片,建议,第四章 敏感信息与第三方管理,用于暗模式分析和告知同意检查,高
